texts,labels
银色的罗马高跟鞋，圆球吊饰耳饰单带，个性十足，有非常抢眼！,1
对骂我从来没怕过，你们也就只能考虑暗杀了，这样就充分保护动物了，臭傻逼们打哈气,4
手机电视无线江苏省内免收流量费。,0
你怎么这么容易生气啊。。。,0
姐姐，生日是没办法让我随心所欲的啊。三十年前俺就是这天出生的呢。,2
美金账户怎么还怎么还？泪泪,2
这是搞什么！！！！！！！！,4
本来就是今天啊...,2
喜欢一个人东逛西逛，比较自由自在，一直向前向前向前，，，有个人陪着，反而碍手碍脚...,0
晚上还得去刷老大的照片打印论文复印证书！,3
好吧你这个头像受不了了怎么那么别扭呢？,3
很久以来都在问自己做一切事情的意义，到了最后才明白，其实我的存在是毫无意义的。,2
是啊，年景不好,2
你妹的，敢不敢别用这蛋疼的箱子了！！,4
这个月什么时候聚会啊，再不聚会都不认识你们了,1
你说我们是你的动力你说有我们的支持你不用睡觉.,1
咱们什么关系，不言谢。,0
把青天白日旗说成是国旗，这是带分裂性质的反动贴，请删除。,4
我曾说，晨是我第一个喜欢的明星，到现在，我敢说，她也是我喜欢的最后一个明星…,1
哥正在看这剧啊，各种基情啊各种摸小手！,1
看到百万美元宝贝和飞跃疯人院的结局时还真是让人悲伤，当你在意的人继续喘息就是痛苦的时候，当你必需将亲手送他一程的时候。,2
为啥要删啊！,4
我先去洗车然后理发然后再买束花来接你行不行？,2
有钱人才能叫节能，你那叫节能吗？,3
悲催的有木有！,4
更是对义务教育的严重反动与挑战!!,3
晕啊，不是他俩中的一个年后就急着结吧。,0
只有我的影子，一直陪着我。,2
呃--你不2咩？,0
好久带我操成都哇？,0
期待版；北京好久摇到；,0
好久嘛，喊我家溪姐给你当童女。,3
捧得太过就是棒杀，这道理，难道某人的团队不懂？,3
饺子配套天津饭！！,0
真气人呐………,4
东侧有个超市，门前的麻辣串真辣，我喜欢。,1
命中注定吧.,0
我想到了一句话，有关系就没关系，没关系才有关系！,3
祝愿母亲节母亲们真的、实实在在的节日快乐！！！,1
当时气愤，郁闷，怨恨。。,4
啊！！！！！,2
就是风电的，而且是刚结婚哟。,0
脾气上来我没嫩么好素质还看着打哪！,4
但其配备了一系列高新科技，研发人员试图用它减少航运业的二氧化碳排放，还海洋一片纯净的蓝色。,0
是啊！我们有三个琦,4
爽个毛！我还以为发生什么了。。,4
记住，不是你做的不够好。,0
财运颇优，先前的投资计划可在今天落实。,0
每当太阳落山的时候，就觉得安全感慢慢来了。,1
刚刚去刮痧了，这可是我的第一次，因为最近总感觉身体像发烧似的烫，就特地去散散火，谁料，就像遭了降龙十八掌，后背惨不忍睹啊。,2
老女人啊，还老娘呢！,3
但是既然已经这样了，为什么不在剩下的时间里，笑着活下去?,0
听完这句话，她拿筷子的手颤了一下，过了这么多年，还是不能忘了他。,2
我电话防水。。,4
我想象到丫！！,1
从当初的8元一份开始相亲，到现在28元一份还在相亲，郁闷不已！,2
坏人总是拿人们群众逗乐，严重鄙视！,3
班主任？在哪婚礼吖？,0
不信你发两张擦屁股纸，他们保证偷一张回家擦擦嘴！,3
对一个关心你生死的人，左一巴掌右一巴掌，你的良心是不是自己吃掉了呀！！！！,4
你干嘛装非主流。哈哈,0
中国司机—开着全世界零售价最高车；,4
他还骂老人！！！,4
wsetdiploma最后一部分cwa的成绩拿到，竟然把我fail了，而且很冤呀泪,2
我也木有钱了好穷！！！,2
确实太邪恶了…有直道不让走…,3
挡不住冬的脚步，却可以捧来冬日的阳光；,1
中国啊，你到底怎么了？,4
你也养成了饭前用手机测毒的习惯？,0
欢迎您的再次光临~~~,1
你在或不在乎，侵权是个问题，心虚丢人；,3
那些无畏的无知者们，请你们不要再去菲薄那些为了他人性命牺牲自己的勇士们了。。。,4
我亲爱的学校，姐上午是游过去的,1
最近一直的关注经济学家郎咸平，我非常欣赏他透过现象看到本质的非凡能力。,1
吃药没上班没坚持住啊~~,2
我们周五踢球兄弟！,0
窗外的城市，是因为一个人而存在的城市，遥远，陌生。,2
很早就听说过他们的大名，果然是名不虚传,1
蹉跎中，突然惊醒，觉得应该换个活法！,0
有一个骗人的！,4
我7月9号,0
姐姐啊我还不想成年啊!!!呜呜,2
限量啊亲，把你卖了再来买啊亲,0
李东生去公安部做副部长了，所以必须辞去人大职务。,0
